〇	〔{〇}aa〕
爝	〔火爵hj〕
爞	〔火蟲hi〕
爟	〔.hg〕〔火隹hv〕
爠	〔火瞿hq〕〔火隹hv〕
爡	〔火蠆hi〕
爢	〔灬靡hm〕〔灬靡dm〕〔麻灬md〕〔麻灬mh〕
爣	〔火黨hd〕
爤	〔.hj〕〔火蘭hl〕
爥	〔火屬hu〕
爦	〔.hj〕〔火覽hl〕
爧	〔火靈hl〕〔火巫hw〕
爨	〔火大hd〕〔𦥑火jh〕〔丿丶pd〕
爩	〔.hp〕〔火鬱hy〕
爪	〔𠂆丶pd〕
爫	〔.pd〕〔.vw〕
爬	〔爪巴vb〕
爭	〔爫一va〕
爮	〔爪包vb〕
爯	〔爫冉vr〕
爰	〔爫友vy〕
爱	〔爫友vy〕
爲	〔丿灬pd〕〔爫灬vd〕〔爫灬vh〕
爳	〔.lw〕〔爲了wl〕
爴	〔爪國vg〕
爵	〔爫寸vc〕
父	〔八㐅bi〕〔丿丶pd〕
爷	〔父卩fe〕
爸	〔父巴fb〕
爹	〔父多fd〕
爺	〔父耶fy〕
爻	〔㐅㐅ii〕
爼	〔.qy〕
爽	〔大爻dy〕
爾	〔一爻ay〕〔一丶hd〕
爿	〔𠃊丨aa〕〔{爿}pj〕〔𠃊丨vu〕
牀	〔爿木pm〕
牁	〔爿可pk〕
牂	〔爿羊py〕
牃	〔爿木pm〕
牄	〔爿倉pc〕
牅	〔爿庸py〕
牆	〔爿回ph〕〔爿嗇ps〕
片	〔丿乛pa〕〔丿乛pv〕
版	〔片反pf〕
牉	〔片半pb〕
牊	〔片召pv〕
牋	〔片戔pj〕
牌	〔片卑pb〕
牍	〔片卖pm〕
牎	〔.pc〕
牏	〔片俞py〕
牐	〔片臿pi〕
牑	〔片扁pb〕
牒	〔片木pm〕〔爿枼py〕
牓	〔片旁pp〕
牔	〔片寸pc〕〔.pf〕
牕	〔.pc〕〔片心px〕
牖	〔片甫pf〕
牗	〔片庸py〕
牘	〔片賣pm〕
牙	〔一丿ap〕
牚	〔丶牙dy〕〔牙xy〕〔牙口yk〕
牛	〔丿丨pa〕
牜	〔.pa〕
牝	〔牛匕nb〕
牞	〔牛力nl〕
牟	〔厶牛sn〕
牠	〔牛也ny〕
牡	〔牛土nt〕
牢	〔宀牛bn〕
牣	〔牛刃nr〕
牤	〔牛亡nw〕
牥	〔牛方nf〕
牦	〔牛毛nm〕
牧	〔牛攵nw〕
牨	〔牛亢nk〕
物	〔牛勿nw〕
牪	〔牛牛nn〕
牫	〔牛戈ng〕
牬	〔.nz〕
牭	〔牛四ns〕
牮	〔牛代nd〕
牯	〔牛古ng〕
牰	〔牛由ny〕
牱	〔牛可nk〕
牲	〔牛生nu〕
牳	〔牛母nm〕
牴	〔牛氐nd〕
牵	〔牛冖nb〕〔大牛dn〕
牶	〔龹牛jn〕〔牛夫nf〕
牷	〔牛全nq〕
牸	〔牛字nz〕
特	〔牛寺ns〕
牺	〔牛西nx〕
牻	〔牛龙nl〕〔牛尨nm〕
牼	〔牛工ng〕〔.nj〕
牽	〔牛厶ns〕〔丶牛dn〕〔亠牛wn〕
牾	〔牛吾nw〕
牿	〔牛告ng〕
犀	〔牛氺nu〕〔尸牛un〕
犁	〔牛利nl〕
犂	〔牛ㄉnd〕
犃	〔牛口nk〕〔.np〕
犄	〔牛奇nq〕
犅	〔牛岡ng〕
犆	〔牛直nv〕
犇	〔牛牛nn〕
犈	〔牛卷nj〕
犉	〔牛享nx〕
犊	〔牛卖nm〕
犋	〔牛具nj〕
犌	〔牛叚nj〕
犍	〔牛建nj〕
犎	〔牛封nf〕
犏	〔牛扁nb〕
犐	〔牛科nk〕
犑	〔.nj〕〔牛犬nq〕
犒	〔牛高ng〕
犓	〔.nc〕〔牛芻ni〕
犔	〔牛氣nq〕
犕	〔牛用ny〕
犖	〔火牛hn〕〔牛冖nb〕
犗	〔牛害nh〕
犘	〔麻牛mn〕〔牛麻nm〕
犙	〔牛參nc〕
犚	〔牛尉nw〕
犛	〔牛厂ni〕〔未牛wn〕
犜	〔牛敦nd〕
犝	〔牛童nt〕
犞	〔牛喬nq〕
犟	〔牛强nq〕
犠	〔牛義ny〕
犡	〔牛厲nl〕〔.nw〕
犢	〔牛賣nm〕
犣	〔牛巤nl〕
犤	〔牛罷nb〕〔.nn〕
犥	〔.nb〕〔.nd〕〔牛灬nh〕
犦	〔牛暴nb〕
犧	〔牛羲nx〕
犨	〔牛隹nv〕
犩	〔牛魏nw〕
犪	〔牛夔nk〕〔.nw〕
犫	〔.nv〕〔.yn〕
犬	〔大丶dd〕〔一丶ad〕
犭	〔{犭}qr〕
犮	〔一丶ad〕〔友丶yd〕
犯	〔犭qe〕
犰	〔犭九qj〕
犱	〔犭丸qw〕
犲	〔犭才qc〕
犳	〔犭勺qu〕
犴	〔犭干qg〕
犵	〔犭乞qq〕
状	〔丬犬jq〕〔丬犬pq〕〔犬丬qp〕
犷	〔犭广qg〕
犸	〔犭马qm〕
犹	〔犭尤qy〕
犺	〔犭亢qk〕
犻	〔.qf〕〔.qj〕
犼	〔犭孔qk〕
犽	〔犭牙qy〕
犾	〔犭犬qq〕
犿	〔犭卞qb〕
狀	〔爿犬pq〕〔犬爿qp〕
狁	〔犭允qy〕
狂	〔犭王qw〕
狃	〔犭丑qi〕
狄	〔犭火qh〕
狅	〔犭壬qr〕
狆	〔犭中qv〕
狇	〔犭木qm〕
狈	〔犭贝qb〕
狉	〔犭丕qp〕
狊	〔目犬oq〕〔犬目qo〕
狋	〔犭示qu〕
狌	〔犭生qu〕
狍	〔犭包qb〕
狎	〔犭甲qj〕
狏	〔犭也qy〕
狐	〔犭瓜qg〕
狑	〔犭令ql〕
狒	〔犭弗qf〕
狓	〔犭皮qp〕
狔	〔犭尼qn〕
狕	〔犭幼qy〕
狖	〔犭穴qx〕
狗	〔犭句qj〕
狘	〔.qy〕
狙	〔犭且qq〕
狚	〔犭旦qd〕
狛	〔犭白qb〕
狜	〔犭古qg〕
狝	〔犭尔qe〕
狞	〔犭宁qn〕
狟	〔犭亘qg〕
狠	〔犭艮qg〕
狡	〔犭交qj〕
狢	〔犭各qg〕
狣	〔犭兆qv〕
狤	〔犭吉qj〕
狥	〔犭旬qx〕
狦	〔.qa〕〔.qc〕
狧	〔犭舌qu〕
狨	〔犭戎qr〕
狩	〔犭守qu〕
狪	〔犭同qt〕
狫	〔犭老ql〕
独	〔犭虫qi〕
狭	〔犭夹qj〕
狮	〔犭师qu〕
狯	〔犭会qh〕
狰	〔犭争qv〕
狱	〔犭犬qq〕
狲	〔犭孙qs〕
狳	〔犭余qy〕
狴	〔犭坒qb〕〔犬土qt〕
狵	〔.ql〕〔犭尨qm〕
狶	〔犭希qx〕
狷	〔犭月qo〕〔犭肙qy〕
狸	〔犭里ql〕
狹	〔犭夾qj〕
狺	〔犭言qy〕
狻	〔犭攵qw〕〔犭夋qj〕
狼	〔犭良ql〕
狽	〔犭貝qb〕
狾	〔犭折qv〕
狿	〔犭延qy〕
猀	〔犭沙qu〕
猁	〔犭利ql〕
猂	〔犭旱qh〕
猃	〔犭一qa〕〔犭佥qq〕
猄	〔犭京qj〕
猅	〔犭非qf〕
猆	〔非犬fq〕〔犬非qf〕
猇	〔犭虎qh〕
猈	〔犭卑qb〕
猉	〔犭其qq〕
猊	〔犭兒qe〕
猋	〔犬犬qq〕
猌	〔犬來ql〕
猍	〔犭來ql〕
猎	〔犭昔qx〕
猏	〔犭肩qj〕
猐	〔.qg〕〔犭羌qq〕
猑	〔犭昆qk〕
猒	〔犬月qo〕〔.qy〕
猓	〔犭果qg〕
猔	〔犭宗qz〕
猕	〔犭弥qm〕
猖	〔犭昌qi〕
猗	〔犭奇qq〕
猘	〔犭制qv〕
猙	〔犭争qv〕
猚	〔犭隹qv〕
猛	〔犭孟qm〕
猜	〔犭青qq〕
猝	〔犭卒qz〕
猞	〔犭舍qu〕
猟	〔.qu〕〔.qy〕
猠	〔犭典qd〕
猡	〔犭罗ql〕
猢	〔犭胡qh〕
猣	〔犭夂qw〕
猤	〔犭癸qg〕〔.qt〕
猥	〔犭畏qw〕
猦	〔犭風qf〕
猧	〔犭咼qg〕〔.qk〕
猨	〔犭爰qy〕
猩	〔犭星qx〕
猪	〔犭者qv〕
猫	〔犭苗qm〕
猬	〔犭胃qw〕
猭	〔犭彖qt〕〔犭豕qu〕
献	〔犬南qn〕
猯	〔.qe〕
猰	〔犭契qq〕
猱	〔犭柔qr〕
猲	〔犭曷qh〕
猳	〔犭叚qj〕
猴	〔犭侯qh〕
猵	〔犭扁qb〕
猶	〔犭酋qq〕
猷	〔酋犬qq〕
猸	〔犭眉qm〕
猹	〔犭查qi〕
猺	〔犭缶qf〕
猻	〔犭孫qs〕
猼	〔犭寸qc〕〔犭尃qf〕
猽	〔.ql〕〔犭冥qm〕
猾	〔犭骨qg〕
猿	〔犭袁qy〕
獀	〔犭叟qs〕
獁	〔犭馬qm〕
獂	〔犭原qy〕
獃	〔犬豆qd〕〔豈犬qq〕
獄	〔犭犬qq〕
獅	〔犭師qu〕
獆	〔犭皋qg〕〔.qu〕
獇	〔.qq〕〔犭厶qs〕
獈	〔犭益qy〕
獉	〔犭秦qq〕
獊	〔犭倉qc〕
獋	〔.qg〕〔.qu〕
獌	〔犭曼qm〕
獍	〔犭竟qj〕
獎	〔犬將qj〕
獏	〔犭莫qm〕
獐	〔犭章qv〕
獑	〔犭斬qv〕
獒	〔犬敖qa〕〔犬攵qw〕
獓	〔犭敖qa〕〔.qw〕
獔	〔.qg〕〔.qu〕
獕	〔犭崔qc〕
獖	〔犭賁qb〕
獗	〔犭厥qj〕〔犭欠qq〕
獘	〔犬敝qb〕〔.qw〕
獙	〔犭敝qb〕〔.qw〕
獚	〔犭黄qh〕
獛	〔.qd〕〔犭夫qf〕〔.qp〕
獜	〔.ql〕
獝	〔犭口qk〕〔犭矞qy〕
獞	〔犭童qt〕
獟	〔犭堯qy〕
獠	〔犭尞ql〕〔犭小qx〕
獡	〔.qd〕〔.qh〕
獢	〔犭喬qq〕
獣	〔犬口qk〕〔.qu〕
獤	〔犭敦qd〕
獥	〔犭敫qj〕〔.qw〕
獦	〔犭葛qg〕
獧	〔.qh〕〔.qy〕
獨	〔犭虫qi〕〔犭蜀qu〕
獩	〔犭歲qs〕
獪	〔犭會qh〕
獫	〔犭僉qq〕
獬	〔犭解qj〕
獭	〔.qf〕
獮	〔犭爾qe〕
獯	〔犭熏qx〕
獰	〔犭寧qn〕
獱	〔犭賓qb〕
獲	〔犭蒦qh〕〔犭又qy〕
獳	〔犭需qx〕
獴	〔犭蒙qm〕
獵	〔犭巤ql〕
獶	〔犭憂qy〕
獷	〔犭廣qg〕
獸	〔犬嘼qu〕
獹	〔犭盧ql〕
獺	〔犭賴ql〕
獻	〔犬鬲qg〕〔犬鬳qy〕
獼	〔犭彌qm〕
獽	〔犭襄qx〕
獾	〔犭隹qv〕〔犭雚qg〕
獿	〔.qn〕〔犭夂qw〕
玀	〔犭羅ql〕〔犭維qw〕
玁	〔犭敢qg〕〔犭嚴qy〕
玂	〔犭蘄qj〕
玃	〔犭矍qj〕〔犭又qy〕
玄	〔亠幺wy〕〔丶幺dy〕
玅	〔玄少xu〕
玆	〔玄玄xx〕
率	〔亠十wu〕〔丶十du〕
玈	〔玄丿xp〕
玉	〔一丶ad〕〔王丶wd〕
玊	〔王丶wd〕
王	〔一一aa〕
玌	〔王乚wg〕
玍	〔.pw〕〔𠂉土rt〕
玎	〔王丁wd〕
玏	〔王力wl〕
玐	〔王八wb〕
玑	〔王几wj〕
玒	〔王工wg〕
玓	〔王勺wu〕
玔	〔王川wi〕
玕	〔王干wg〕
玖	〔王久wj〕
玗	〔王于wy〕
玘	〔王己wj〕
玙	〔王与wy〕
玚	〔王𠃓wy〕
玛	〔王马wm〕
玜	〔王公wg〕
玝	〔王午ww〕
玞	〔王夫wf〕
玟	〔王文ww〕
玠	〔王介wj〕
玡	〔王牙wy〕
玢	〔王分wf〕
玣	〔王卞wb〕
玤	〔王丰wf〕
玥	〔王月wo〕
玦	〔王丶wd〕〔王夬wg〕
玧	〔王允wy〕
玨	〔王王ww〕
玩	〔王元wy〕
玪	〔王今wj〕
玫	〔攵王ww〕
玬	〔王丹wd〕
玭	〔王比wb〕
玮	〔王韦ww〕
环	〔王不wb〕
现	〔王见wj〕
玱	〔王仓wc〕
玲	〔王令wl〕
玳	〔王代wd〕
玴	〔王世wu〕
玵	〔王甘wg〕
玶	〔王平wp〕
玷	〔王占wv〕
玸	〔王包wb〕
玹	〔王玄wx〕
玺	〔王尔we〕〔玉尔ye〕
玻	〔王皮wp〕
玼	〔王此wc〕
玽	〔王句wj〕
玾	〔王甲wj〕
玿	〔王召wv〕
珀	〔王白wb〕
珁	〔王瓦ww〕
珂	〔王可wk〕
珃	〔王冉wr〕
珄	〔王生wu〕
珅	〔王申wu〕
珆	〔王台wt〕
珇	〔王且wq〕
珈	〔王加wj〕
珉	〔王民wm〕
珊	〔王册wc〕
珋	〔王卯wm〕
珌	〔王必wb〕
珍	〔王彡wp〕
珎	〔王尔we〕
珏	〔王玉wy〕
珐	〔王去wq〕
珑	〔王龙wl〕
珒	〔王聿wy〕
珓	〔王交wj〕
珔	〔王存wc〕
珕	〔王力wl〕〔.wx〕
珖	〔王光wg〕
珗	〔王先wx〕
珘	〔王舟wv〕
珙	〔王共wg〕
珚	〔王因wy〕
珛	〔王有wy〕
珜	〔王羊wy〕
珝	〔王羽wy〕
珞	〔王各wg〕
珟	〔.wd〕〔王夙ws〕
珠	〔王朱wv〕
珡	〔.rw〕〔王人wr〕
珢	〔王艮wg〕
珣	〔王旬wx〕
珤	〔王缶wf〕
珥	〔王耳we〕
珦	〔王向wx〕
珧	〔王兆wv〕
珨	〔王合wh〕
珩	〔王行wx〕
珪	〔王圭wg〕
珫	〔王充wi〕
珬	〔王戌wx〕
班	〔刀王dw〕〔王王ww〕
珮	〔王币wb〕
珯	〔王老wl〕
珰	〔王当wd〕
珱	〔王女wn〕
珲	〔王军wj〕
珳	〔王彡wp〕〔.ww〕
珴	〔王我ww〕
珵	〔王呈wi〕
珶	〔王弟wd〕
珷	〔王武ww〕
珸	〔王吾ww〕
珹	〔王成wi〕
珺	〔王君wj〕
珻	〔王每wm〕
珼	〔王貝wb〕
珽	〔王廷wt〕
現	〔王見wj〕
珿	〔王足wz〕
琀	〔王含wh〕
琁	〔王疋wp〕
琂	〔王言wy〕
球	〔王求wq〕
琄	〔王月wo〕〔王肙wy〕
琅	〔王良wl〕
理	〔王里wl〕
琇	〔王秀wx〕
琈	〔王孚wf〕
琉	〔王川wi〕
琊	〔王邪wx〕
琋	〔王希wx〕
琌	〔王岑wc〕〔.wj〕
琍	〔王利wl〕
琎	〔王进wj〕
琏	〔王连wl〕
琐	〔王贝wb〕
琑	〔王肖wx〕
琒	〔王丰wf〕
琓	〔王完ww〕
琔	〔王定wd〕
琕	〔王卑wb〕
琖	〔王戔wj〕
琗	〔王卒wz〕
琘	〔王昏wh〕
琙	〔王或wh〕
琚	〔王居wj〕
琛	〔王木wm〕〔王冞wu〕
琜	〔王來wl〕
琝	〔王旻wm〕〔王文ww〕
琞	〔玉明ym〕
琟	〔王隹wv〕
琠	〔王典wd〕
琡	〔王叔wu〕
琢	〔王丶wd〕〔王豖wi〕
琣	〔王口wk〕〔王咅wp〕
琤	〔王争wv〕
琥	〔王虎wh〕
琦	〔王奇wq〕
琧	〔玉亞yy〕
琨	〔王昆wk〕
琩	〔王昌wi〕
琪	〔王其wq〕
琫	〔王奉wf〕
琬	〔王宛ww〕
琭	〔王录wl〕
琮	〔王宗wz〕
琯	〔王官wg〕
琰	〔王炎wy〕
琱	〔王周wv〕
琲	〔王非wf〕
琳	〔王林wl〕
琴	〔王今wj〕
琵	〔王比wb〕
琶	〔巴王bw〕〔王巴wb〕
琷	〔.wg〕〔王羌wq〕
琸	〔王卓wv〕
琹	〔木王mw〕〔王木wm〕
琺	〔王法wf〕
琻	〔王金wj〕
琼	〔王京wj〕
琽	〔王者wv〕
琾	〔王界wj〕
琿	〔王軍wj〕
瑀	〔王禹wy〕
瑁	〔王冒wm〕
瑂	〔王眉wm〕
瑃	〔王春wi〕
瑄	〔王宣wx〕
瑅	〔王是wu〕
瑆	〔王星wx〕
瑇	〔王毒wd〕
瑈	〔王柔wr〕
瑉	〔.wh〕〔王日wo〕
瑊	〔王咸wx〕
瑋	〔王韋ww〕
瑌	〔王大wd〕
瑍	〔.wd〕〔王奂wh〕
瑎	〔王皆wj〕
瑏	〔王穿wi〕
瑐	〔王前wq〕
瑑	〔王彖wt〕〔王豕wu〕
瑒	〔王昜wy〕
瑓	〔王柬wj〕
瑔	〔王泉wq〕
瑕	〔王叚wj〕〔王又wy〕
瑖	〔王段wd〕
瑗	〔王爰wy〕
瑘	〔王耶wy〕
瑙	〔王メwi〕
瑚	〔王胡wh〕
瑛	〔王英wy〕
瑜	〔王俞wy〕
瑝	〔王皇wh〕
瑞	〔王而we〕
瑟	〔王必wb〕
瑠	〔王留wl〕
瑡	〔王師wu〕
瑢	〔王容wr〕
瑣	〔王貝wb〕
瑤	〔王缶wf〕
瑥	〔.ww〕
瑦	〔王烏ww〕
瑧	〔王秦wq〕
瑨	〔王晋wj〕
瑩	〔火玉hy〕〔玉冖yb〕
瑪	〔王馬wm〕
瑫	〔王舀wy〕
瑬	〔玉流yl〕
瑭	〔王唐wt〕
瑮	〔王栗wl〕
瑯	〔王郎wl〕
瑰	〔王鬼wg〕
瑱	〔王真wv〕
瑲	〔王倉wc〕
瑳	〔王差wi〕
瑴	〔.uu〕〔.uw〕〔.wu〕
瑵	〔王虫wi〕〔王蚤wz〕
瑶	〔王缶wf〕
瑷	〔王爱wa〕
瑸	〔王宾wb〕
瑹	〔王荼wt〕〔王余wy〕
瑺	〔王常wi〕
瑻	〔王貫wg〕
瑼	〔王專wv〕
瑽	〔王從wc〕〔.wv〕
瑾	〔王堇wj〕
瑿	〔玉殳yu〕〔医玉yy〕
璀	〔王崔wc〕
璁	〔王悤wc〕〔王心wx〕
璂	〔王基wj〕
璃	〔王离wl〕
璄	〔王儿we〕〔王竟wj〕
璅	〔王巢wi〕
璆	〔王翏wl〕〔王彡wp〕
璇	〔王旋wx〕
璈	〔王敖wa〕〔王攵ww〕
璉	〔王連wl〕
璊	〔王入wr〕
璋	〔王章wv〕
璌	〔王寅wy〕
璍	〔王華wh〕
璎	〔王婴wy〕
璏	〔.wb〕〔王彘wv〕
璐	〔王路wl〕
璑	〔王無ww〕
璒	〔王登wd〕
璓	〔.wx〕
璔	〔王曾wc〕
璕	〔王尋wx〕
璖	〔王渠wq〕
璗	〔玉湯yt〕
璘	〔王粦wl〕
璙	〔.wl〕〔王小wx〕
璚	〔.wk〕〔王矞wy〕
璛	〔王肅ws〕
璜	〔王黄wh〕
璝	〔王貴wg〕
璞	〔王乀wd〕〔王夫wf〕〔王菐wp〕
璟	〔王景wj〕
璠	〔王番wf〕
璡	〔王進wj〕
璢	〔.wl〕
璣	〔王幾wj〕
璤	〔王惠wh〕
璥	〔王敬wj〕
璦	〔王愛wa〕
璧	〔王辟wb〕〔王辛wx〕〔玉辟yb〕〔玉辛yx〕
璨	〔王粲wc〕〔王米wm〕
璩	〔王豦wj〕〔王豕wu〕
璪	〔王喿wz〕
璫	〔王當wd〕
璬	〔王敫wj〕〔王攵ww〕
璭	〔王運wy〕
璮	〔王亶wd〕
璯	〔王會wh〕
環	〔王睘wh〕〔王睘wy〕
璱	〔王瑟ws〕
璲	〔王遂ws〕
璳	〔王貝wb〕
璴	〔王楚wi〕
璵	〔王與wy〕
璶	〔王盡wj〕
璷	〔王敷wf〕〔王攵ww〕
璸	〔王賓wb〕
璹	〔王壽wu〕
璺	〔𦥑玉jy〕〔王冖wb〕〔玉冖yb〕
璻	〔王翠wc〕
璼	〔王監wj〕
璽	〔玉爾ye〕
璾	〔王齊wq〕
璿	〔王睿wr〕〔王目wo〕
瓀	〔王需wx〕
瓁	〔.wh〕〔王又wy〕
瓂	〔王蓋wg〕〔.wm〕
瓃	〔王畾wl〕
瓄	〔王賣wm〕
瓅	〔王樂wl〕〔王樂wy〕
瓆	〔王質wv〕
瓇	〔王憂wy〕
瓈	〔王黎wl〕
瓉	〔.wz〕
瓊	〔王攵ww〕〔王夐wx〕
瓋	〔王適wu〕
瓌	〔王褱wh〕〔王𧘇wy〕
瓍	〔王隨ws〕
瓎	〔王賴wl〕
瓏	〔王龍wl〕
瓐	〔王盧wl〕
瓑	〔王歷wl〕〔.wv〕
瓒	〔王赞wz〕
瓓	〔王柬wj〕〔王闌wl〕
瓔	〔王嬰wy〕
瓕	〔玉彌ym〕
瓖	〔王襄wx〕
瓗	〔王冏wj〕〔王口wk〕
瓘	〔王隹wv〕
瓙	〔王燾wd〕〔.wh〕〔.wt〕
瓚	〔王贊wz〕
瓛	〔王犬wq〕〔王獻wx〕
瓜	〔𠂆丶pd〕
瓝	〔瓜勺gu〕
瓞	〔瓜失gu〕
瓟	〔瓜包gb〕
瓠	〔瓜夸gk〕
瓡	〔瓜幸gx〕〔幸瓜xg〕
瓢	〔瓜票gp〕
瓣	〔瓜辛gx〕〔辛辛xx〕
瓤	〔瓜襄gx〕〔瓜𧘇gy〕
瓥	〔瓜虫gi〕〔.iu〕
瓦	〔一丶ad〕
瓧	〔瓦十wu〕
瓨	〔工瓦gw〕〔瓦工wg〕
瓩	〔.wa〕〔瓦千wq〕
瓪	〔瓦反wf〕
瓫	〔瓦分wf〕
瓬	〔.ww〕
瓭	〔.wa〕〔.wg〕〔.wv〕〔.wy〕
瓮	〔瓦公wg〕
瓯	〔瓦区wq〕
瓰	〔瓦分wf〕
瓱	〔瓦毛wm〕
瓲	〔瓦屯wt〕
瓳	〔瓦古wg〕
瓴	〔瓦令wl〕
瓵	〔瓦台wt〕
瓶	〔瓦并wb〕
瓷	〔瓦次wc〕
瓸	〔瓦百wb〕
瓹	〔瓦月wo〕〔.wy〕
瓺	〔瓦镸wi〕
瓻	〔瓦希wx〕
瓼	〔瓦里wl〕
瓽	〔{党上}瓦dw〕〔瓦口wk〕〔瓦xw〕
瓾	〔瓦委ww〕
瓿	〔瓦口wk〕
甀	〔瓦垂wi〕
甁	〔瓦并wb〕
甂	〔瓦扁wb〕
甃	〔瓦秋wq〕
甄	〔瓦土wt〕〔瓦垔wy〕
甅	〔瓦厘wl〕
甆	〔瓦兹wz〕
甇	〔火瓦hw〕〔瓦冖wb〕
甈	〔瓦臬wn〕
甉	〔瓦兼wj〕
甊	〔瓦婁wl〕
甋	〔.wd〕
甌	〔瓦區wq〕
甍	〔艹瓦cw〕
甎	〔瓦專wv〕
甏	〔瓦彭wp〕
甐	〔.wl〕
甑	〔瓦曾wc〕
甒	〔瓦無ww〕
甓	〔瓦辟wb〕〔瓦辛wx〕
甔	〔瓦詹wv〕〔.wy〕
甕	〔亠瓦dw〕〔瓦隹wv〕〔亠瓦ww〕〔瓦雍wy〕
甖	〔貝瓦bw〕〔瓦貝wb〕
甗	〔瓦鬲wg〕〔.wy〕
甘	〔一一aa〕〔廿一ca〕
甙	〔弋甘yg〕
甚	〔其乛qa〕〔其乛qv〕
甛	〔甘舌gu〕
甜	〔舌甘ug〕
甝	〔虎甘hg〕
甞	〔.dg〕〔.gk〕〔.xg〕
生	〔牛一na〕
甠	〔日生ou〕
甡	〔生生uu〕
產	〔文生wu〕
産	〔产生iu〕〔立生lu〕
甤	〔生豕uu〕
甥	〔生男un〕
甦	〔更生gu〕〔生更ug〕
甧	〔.ou〕〔.yu〕
用	〔冂𰀁kf〕
甩	〔丿乚pg〕
甪	〔丿用py〕
甫	〔一丶ad〕
甬	〔用sy〕
甭	〔不用by〕
甮	〔勿用wy〕
甯	〔宀用by〕
田	〔丨一aa〕
由	〔丨一aa〕〔丨日ao〕
甲	〔丨丨aa〕〔日丨oa〕
申	〔丨丨aa〕〔日丨oa〕
甴	〔丨丨aa〕
电	〔丨乚ag〕〔日乚og〕
甶	〔丿田pt〕
男	〔田力tl〕
甸	〔勹田gt〕〔田勹tg〕
甹	〔由丂yk〕
町	〔田丁td〕
画	〔一凵ak〕
甼	〔田丁td〕
甽	〔田川ti〕
甾	〔川田it〕〔田川ti〕
甿	〔田亡tw〕
畀	〔田丌tq〕
畁	〔由丌yq〕
畂	〔田久tj〕
畃	〔申勺uu〕
畄	〔丶田dt〕
畅	〔申𠃓uy〕
畆	〔亩厶ms〕
畇	〔田匀ty〕
畈	〔田反tf〕
畉	〔田夫tf〕
畊	〔田井tj〕
畋	〔田攵tw〕
界	〔田介tj〕
畍	〔田介tj〕
畎	〔田犬tq〕
畏	〔田𧘇ty〕
畐	〔一田at〕
畑	〔火田ht〕
畒	〔亩人mr〕〔.rm〕
畓	〔水田ut〕
畔	〔田半tb〕
畕	〔田田tt〕
畖	〔田瓜tg〕
畗	〔丶田dt〕〔.wt〕
畘	〔田冉tr〕
留	〔田刀td〕〔田{留上}tl〕〔{留上}田lt〕
畚	〔厶奋sf〕
畛	〔田彡tp〕
畜	〔田玄tx〕〔丶田dt〕〔亠田wt〕
畝	〔久亩jm〕〔亩久mj〕
畞	〔田久tj〕〔十久uj〕
畟	〔田夂tw〕
畠	〔白田bt〕
畡	〔田亥th〕
畢	〔丨丨aa〕
畣	〔.rf〕〔人田rt〕〔.th〕
畤	〔田寺ts〕
略	〔田各tg〕
畦	〔田圭tg〕
畧	〔田各tg〕
畨	〔米田mt〕〔田米tm〕
畩	〔田衣ty〕
番	〔田釆tb〕〔丿田pt〕〔田米tm〕
畫	〔肀一ya〕
畬	〔田余ty〕
畭	〔田余ty〕
畮	〔田每tm〕
畯	〔田夋tj〕
異	〔田共tg〕
畱	〔一田at〕〔.tk〕
畲	〔人田rt〕〔田余ty〕
畳	〔田且tq〕
畴	〔田寿tu〕
畵	〔.yh〕〔.yk〕
當	〔丶田dt〕〔田口tk〕〔田xt〕
畷	〔田双tu〕〔田叕tv〕
畸	〔田奇tq〕
畹	〔田宛tw〕
畺	〔一一aa〕
畻	〔田土tt〕
畼	〔.ty〕
畽	〔田重tv〕
畾	〔田田tt〕
畿	〔田戈tg〕〔幺戈yg〕
疀	〔疌田jt〕〔疌甾jz〕
疁	〔.tl〕〔田彡tp〕
疂	〔田且tq〕
疃	〔田童tt〕
疄	〔田粦tl〕
疅	〔.tj〕
疆	〔弓畺gj〕
疇	〔田壽tu〕
疈	〔.df〕〔.dt〕〔.ff〕
疉	〔.la〕〔.lj〕〔.ta〕
疊	〔畾一la〕〔田一ta〕
疋	〔乛龰av〕〔{疋}pi〕〔乛龰vv〕
疌	〔.ad〕〔.av〕
疍	〔疋旦pd〕
疎	〔.pu〕〔.up〕〔.uv〕
疏	〔𤴔川pi〕〔乛乚ag〕〔乛乚vg〕〔乛川vi〕
疐	〔疋田pt〕〔十疋up〕
疑	〔匕疋bp〕
疒	〔{疒}by〕〔丶一da〕
疓	〔疒乃bn〕
疔	〔疒丁bd〕
疕	〔疒匕bb〕
疖	〔疒卩be〕
疗	〔疒了bl〕
疘	〔疒工bg〕
疙	〔疒乞bq〕
疚	〔疒久bj〕
疛	〔疒寸bc〕
疜	〔疒下bx〕
疝	〔疒山bu〕
疞	〔疒亏bk〕
疟	〔疒一ba〕
疠	〔疒万bw〕
疡	〔疒𠃓by〕
疢	〔疒火bh〕
疣	〔疒尤by〕
疤	〔疒巴bb〕
疥	〔疒介bj〕
疦	〔.bd〕〔疒夬bg〕
疧	〔疒氏bu〕
疨	〔疒牙by〕
疩	〔疒十bu〕〔.bz〕
疪	〔疒比bb〕
疫	〔疒殳bu〕
疬	〔疒历bl〕
疭	〔疒从bc〕
疮	〔疒仓bc〕
疯	〔疒风bf〕
