𠀀	hē
𠑶	wú
𠑷	cháng zhǎng
𠑹	gǔ
𠑺	tiān
𠑻	cháng zhǎng
𠑽	chōng
𠑾	sǐ
𠒃	sì
𠒄	wù
𠒅	sì
𠒆	ér
𠒌	qiāng
𠒍	yú
𠒜	yuǎn
𠒝	bǐng
𠒢	wán
𠒧	bó
𠒨	liáng liàng
𠒰	niǎo ní
𠒱	pì
𠒵	liàn
𠒸	rǎo
𠒾	fàn
𠒿	dí
𠓆	jīng
𠓊	huī dān
𠓋	yì
𠓌	xián
𠓖	lán
𠓗	fù
𠓙	xiòng
𠓛	jí
𠓜	liǎng
𠓝	tāo
𠓞	jí
𠓟	fá
𠓡	shǐ
𠓢	jiè
𠓣	zhá
𠓤	shī
𠓪	qí
𠓫	biǎn
𠓭	lǎn
𠓮	lǐn
𠓱	yù
𠓲	chéng
𠓴	quán
𠓵	bì
𠓶	zhì
𠓷	bì chéng
𠓸	shèng
𠓽	shèng
𠓿	qín
𠔀	bān
𠔁	bié
𠔂	biāo
𠔃	xī
𠔈	zhōng
𠔉	juàn
𠔊	cháng zhǎng
𠔋	jī xìn
𠔌	jué
𠔍	xī
𠔎	qǐn
𠔐	jī
𠔑	hài
𠔒	chǐ
𠔓	diǎn
𠔔	yǔ
𠔕	lún
𠔖	jǔ
𠔙	zhōng
𠔚	qì
𠔛	jī
𠔟	duó
𠔠	yuè
𠔨	lián
𠔯	bān
𠔰	diǎn
𠔲	héng
𠔶	qī
𠔸	jī qī
𠔹	chén
𠔺	qiān
𠔻	zhèng
𠔼	mǎo
𠔽	rén
𠔾	zhōng
𠕁	cóng
𠕂	zài
𠕃	wǎng
𠕄	nà
𠕅	zài
𠕆	diàn
𠕇	diàn
𠕊	tǐng
𠕋	cè
𠕌	zōng
𠕍	guān
𠕐	cè
𠕑	dān
𠕒	yǔ
𠕕	jiōng
𠕖	zhǎo
𠕗	chuò
𠕘	yǔ
𠕛	hé
𠕝	nuó
𠕞	cì
𠕟	niǎn
𠕠	chéng
𠕣	qià
𠕤	yuān
𠕥	dào
𠕦	yù
𠕧	jiǎo
𠕨	jì
𠕩	bēi
𠕭	zhào
𠕮	xū
𠕰	nuó
𠕲	yǔ
𠕳	dí
𠕴	jiū
𠕸	suǐ
𠕻	yāo
𠕿	wāng
𠖂	liáo
𠖄	tóng
𠖆	mèng
𠖋	yǒu
𠖓	sī
𠖛	lòu
𠖟	yīn
𠖥	chǒng
𠖫	gǎn
𠖬	jiū
𠖶	qìn
𠖷	jiǒng
𠖹	xié xiá
𠗂	hè
𠗆	tāo
𠗈	qiú
𠗉	xié
𠗊	jìng
𠗋	niǎn
𠗌	jìng
𠗏	jí
𠗘	tiǎn
𠗙	hán
𠗚	cuì
𠗛	dié
𠗝	qǐng
𠗥	pìng
𠗦	píng
𠗨	dié
𠗩	lòu
𠗳	liǎn
𠗴	hán
𠗵	pāng
𠗶	táng
𠗺	yí
𠗻	xuán
𠗼	suò
𠗽	liú
𠗾	shuǎng
𠗿	shèn
𠘁	bù
𠘂	sōu
𠘅	qín
𠘆	shěn
𠘊	nòng
𠘋	tǐng
𠘌	jiāng
𠘕	xī
𠘖	zhì
𠘝	lài
𠘞	lì
𠘟	lì
𠘢	hé
𠘣	jiào
𠘥	yán
𠘧	shū
𠘪	shǐ
𠘱	zhěn
𠘳	yōu
𠘺	suò
𠘻	wú
𠙁	cháng
𠙂	cóng
𠙆	jù
𠙎	shū
𠙔	jiù
𠙕	wéi
𠙞	huò
𠙠	shuāng shuǎng
𠙤	jiē
𠙬	zǎo
𠙴	qū
𠙶	ǒu
𠙼	guǎ
𠚃	háo
𠚄	lǐ
𠚅	zhì
𠚆	xiàn
𠚉	bū
𠚊	chàng
𠚓	yūn
𠚔	hé
𠚜	tāo
𠚠	biāo
𠚡	tāo
𠚣	dāo
𠚥	diāo
𠚧	èr
𠚨	jiū
𠚭	dì
𠚮	yì
𠚯	kūn
𠚱	zhé
𠚴	zhōu
𠚵	jù
𠚹	shàn
𠚺	shà
𠚻	diāo
𠚼	bān
𠚽	jī
𠛀	zhōng
𠛃	yí
𠛅	kōu
𠛊	gē
𠛋	bā
𠛎	gōu
𠛑	xián
𠛒	guā
𠛓	liǔ
𠛔	chǐ
𠛕	guāi
𠛖	chuān
𠛘	lí
𠛙	cù
𠛚	shuā
𠛡	bǐ
𠛢	gē
𠛥	bǐng
𠛦	lì
𠛩	jiǔ
𠛪	tiāo diāo
𠛫	duǒ
𠛬	xíng
𠛭	yān yuān
𠛮	quān
𠛰	bié
𠛱	liè zā
𠛳	kè hé
𠛵	gēn
𠛶	zhēn
𠛸	fén
𠜁	yí
𠜃	jiù
𠜄	xù
𠜅	jiǎo
𠜈	lǜ
𠜉	jiǔ
𠜋	chǒu
𠜎	xiàn
𠜐	kuài
𠜑	duì
𠜖	luō
𠜗	xī xì
𠜘	qìn
𠜙	bù
𠜤	qià
𠜱	pī
𠜲	yā
𠜳	bēng
𠜴	guǒ
𠜵	guā
𠜶	nǎo
𠜹	jú
𠜼	qiā
𠜾	jué guì
𠝄	lì
𠝐	huā
𠝑	jiāo
𠝘	qià
𠝚	zhá zhé
𠝛	qiā
𠝝	zhé zhá
𠝞	chā
𠝟	yǐng
𠝢	yān
𠝤	chōng
𠝨	chǐ
𠝪	wān
𠝬	sōu
𠝲	kǎn
𠝳	yuán
𠝹	jiè
𠝽	chóu
𠝿	suǒ
𠞀	tū
𠞃	zhé
𠞄	tī chǐ
𠞆	wū
𠞈	dā
𠞉	lì
𠞊	chā chāi chá
𠞕	róng
𠞖	gòng
𠞗	què
𠞙	lí
𠞞	tāo
𠞤	lì
𠞧	mí
𠞩	chì shuài
𠞬	gùn
𠞭	lóu lòu
𠞮	chuǎng
𠞯	suǒ
𠞰	jiǎo
𠞱	jìn
𠞵	fá
𠞶	zhāi
𠞾	jìn
𠞿	cuì
𠟂	cèng
𠟃	zǔn
𠟄	lì
𠟅	zhào rì zhì
𠟈	piē
𠟉	zhǎn chàn
𠟊	xī
𠟋	yào
𠟌	fǔ pǒu
𠟍	chōng
𠟓	cuì
𠟗	guā
𠟟	fá
𠟣	jī
𠟦	sè
𠟧	zhān
𠟨	lìng líng
𠟩	sè
𠟪	yè
𠟰	jū
𠟶	tū
𠟺	rú ruǎn
𠟻	zé bài
𠟼	huán
𠠁	xiǎn
𠠃	qiān
𠠄	zhào
𠠋	cán
𠠍	lí
𠠎	kuò
𠠏	lì
𠠐	róu
𠠔	dú
𠠗	liè
𠠜	yīng
𠠝	lì
𠠠	dú
𠠢	líng
𠠪	wān
𠠯	dié
𠠳	jiū
𠠵	lì
𠠶	kū
𠠷	kēng
𠠹	zhěn
𠡀	hè
𠡂	bì fú
𠡄	pī
𠡊	hāng
𠡑	zhuó
𠡒	duǐ
𠡔	yì
𠡜	kè
𠡝	yì
𠡞	mò
𠡠	chì
𠡡	cán
𠡣	gěng
𠡤	kè
𠡥	shì
𠡭	líng lìng
𠡮	bēng kēng
𠡱	duàn
𠡶	juān
𠡷	nǎo
𠡸	zǐ
𠡻	zòng
𠢃	táng
𠢆	xiá
𠢇	hàn
𠢌	lüè
𠢍	qián
𠢓	mò
𠢔	ōu
𠢕	háo
𠢙	zhá
𠢚	juàn
𠢛	cóng
𠢠	lì jí
𠢡	zhá
