AB型血	AB型血 🆎️
抽煙	抽煙 🚬️
抽菸	抽菸 🚬️
拇指	拇指 👍🏻️
拉弓	拉弓 🏹️
拉拉	拉拉 👭🏻️
拉炮	拉炮 🎉️
拉脫維亞	拉脫維亞 🇱🇻
拍戲	拍戲 🎬️
拍手	拍手 👏🏻️ (｡･∀･)ﾉﾞヾ(･ω･。)
拍電影	拍電影 🎬️
拖拉機	拖拉機 🚜️
拖鞋	拖鞋 🩴
招呼	招呼 🙋🏻 (｡･∀･)ﾉﾞヾ(･ω･。)
招呼女	招呼女 🙋🏻‍♀️
招呼男	招呼男 🙋🏻‍♂️
招手	招手 🙋🏻
招手女	招手女 🙋🏻‍♀️
招手男	招手男 🙋🏻‍♂️
拜拜	拜拜 👋🏻️
拜託	拜託 🥺
拳	拳 👊🏻 ✊🏻 🤛🏻 🤜🏻
拳套	拳套 🥊
拳擊	拳擊 🥊
拳頭	拳頭 👊🏻 ✊🏻 🤛🏻 🤜🏻
拼圖	拼圖 🧩
拿	拿 🫳🏻
指	指 🈯️ 🫵🏻
指南針	指南針 🧭
指數	指數 💹️
指環	指環 💍️
按摩	按摩 💆🏻
按摩女	按摩女 💆🏻‍♀️
按摩師	按摩師 💆🏻
按摩師女	按摩師女 💆🏻‍♀️
按摩師男	按摩師男 💆🏻‍♂️
按摩男	按摩男 💆🏻‍♂️
挎包	挎包 👜️
挪威	挪威 🇳🇴
振動模式	振動模式 📳️
捂嘴	捂嘴 🙊️ 🫢
捂耳朵	捂耳朵 🙉️
捂臉	捂臉 🙈️
捏	捏 🤏🏻 🤌🏻
捏着	捏着 🤏🏻
捕鼠器	捕鼠器 🪤
捧	捧 🤲🏻
捲紙	捲紙 🧻
捲蝦	捲蝦 🍤️
捲軸	捲軸 📜️
捲餅	捲餅 🌯️
捷克	捷克 🇨🇿
捷運	捷運 🚇️
掃帚	掃帚 🧹
掌心	掌心 🤲🏻
排球	排球 🏐️
掛曆	掛曆 🗓️
掛鏡	掛鏡 🪞
探長	探長 🕵🏻
探長女	探長女 🕵🏻‍♀️
探長男	探長男 🕵🏻‍♂️
接吻	接吻 😘️
接納	接納 👐🏻
推杯換盞	推杯換盞 🍻️
掬	掬 🤲🏻
提款	提款 🏧️
提款機	提款機 🏧️
提琴	提琴 🎻️
提示牌	提示牌 🪧
提醒	提醒 🔔️
插頭	插頭 🔌️
揚聲器	揚聲器 🔈️
換匯	換匯 💱️
換臉	換臉 🎭️
握手	握手 🤝🏻
握筆	握筆 ✍🏻
揮手	揮手 👋🏻 🖖🏻
揮灑	揮灑 💦️
搋子	搋子 🪠
搖搖	搖搖 🪀
搖桿	搖桿 🕹️
搖滾	搖滾 🤘🏻 🫨
搖頭	搖頭 🫨
搜尋	搜尋 🔍️
搜索	搜索 🔍️
搭的	搭的 🚖️
摔跤	摔跤 🤼
摩天輪	摩天輪 🎡️
摩托	摩托 🏍️
摩托艇	摩托艇 🛥️
摩托車	摩托車 🏍️
摩洛哥	摩洛哥 🇲🇦
摩爾多瓦	摩爾多瓦 🇦🇩 🇲🇩
摩納哥	摩納哥 🇲🇨
摩羯座	摩羯座 ♑️
摺扇	摺扇 🪭
撅嘴	撅嘴 😗️
撇嘴	撇嘴 😕️
撐傘	撐傘 ☔️
撒拉威阿拉伯	撒拉威阿拉伯 🇪🇭
撒花	撒花 🎉️
撞擊	撞擊 💥️
撣指	撣指 🤞🏻
撤回	撤回 ↩️
撤銷	撤銷 ↩️
播放	播放 ⏯️ ▶️
撮	撮 🤌🏻
撲克	撲克 🃏️ ♠ ♥ ♦ ♣
各種撲克	各種撲克 🃏️ ♠ ♥ ♦ ♣ ♤ ♡ ♧ ♢ 🂡 🂱 🃁 🃑 🂢 🂲 🃂 🃒 🂣 🂳 🃃 🃓 🂤 🂴 🃄 🃔 🂥 🂵 🃅 🃕 🂦 🂶 🃆 🃖 🂧 🂷 🃇 🃗 🂨 🂸 🃈 🃘 🂩 🂹 🃉 🃙 🂪 🂺 🃊 🃚 🂫 🂻 🃋 🃛 🂬 🂼 🃌 🃜 🂭 🂽 🃍 🃝 🂮 🂾 🃎 🃞 🂠 🂿 🃟 🃠 🃡 🃢 🃣 🃤 🃥 🃦 🃧 🃨 🃩 🃪 🃫 🃬 🃭 🃮 🃯 🃰 🃱 🃲 🃳 🃴 🃵
擁抱	擁抱 🤗️ 🫂
擊中	擊中 🎯️
擊劍	擊劍 🤺
擊掌	擊掌 🖐🏻 🙏🏻 (￣ー￣)人(^▽^)
擕手	擕手 🧑🏻‍🤝‍🧑🏻
擴音器	擴音器 📣️ 📢
攀巖	攀巖 🧗🏻
攀巖女	攀巖女 🧗🏻‍♀️
攀巖男	攀巖男 🧗🏻‍♂️
攀登	攀登 🧗🏻
攀登女	攀登女 🧗🏻‍♀️
攀登男	攀登男 🧗🏻‍♂️
攝像	攝像 🎦️
攝像機	攝像機 📹️
攝影機	攝影機 📹️
攤手	攤手 🤷🏻 ┑(￣Д￣)┍ ㄟ(▔,▔)ㄏ
攤手女	攤手女 🤷🏻‍♀️
攤手男	攤手男 🤷🏻‍♂️
攪基	攪基 👬🏻
收件匣	收件匣 📥️
收件箱	收件箱 📥️
收信	收信 📩️
收據	收據 🧾
收聲	收聲 🫢
收費服務	收費服務 🈂️
收郵件	收郵件 📩️
收音機	收音機 📻️
改錐	改錐 🪛
放大鏡	放大鏡 🔍️ 🔎️
放射	放射 ☢️
放射性	放射性 ☢️
放射線	放射線 ☢️
放映機	放映機 📽️
救命	救命 🆘️
救火	救火 🚒️
救火車	救火車 🚒️
救火隊	救火隊 🧑🏻‍🚒
救火隊女	救火隊女 👩🏻‍🚒
救火隊男	救火隊男 👨🏻‍🚒
救生圈	救生圈 🛟
救生服	救生服 🦺
救生衣	救生衣 🦺
救護車	救護車 🚑️
敘利亞	敘利亞 🇸🇾
教堂	教堂 ⛪️
教師	教師 🧑🏻‍🏫
教師女	教師女 👩🏻‍🏫
教師男	教師男 👨🏻‍🏫
教書	教書 🧑🏻‍🏫
教書女	教書女 👩🏻‍🏫
教書男	教書男 👨🏻‍🏫
敬禮	敬禮 🫡 ∠(°ゝ°） (`ー´)7
數字	數字 🔢️
各種數字	各種數字 ⓪ ① ② ③ ④ ⑤ ⑥ ⑦ ⑧ ⑨ ⑩ ⑪ ⑫ ⑬ ⑭ ⑮ ⑯ ⑰ ⑱ ⑲ ⑳ ⓿ ❶ ❷ ❸ ❹ ❺ ❻ ❼ ❽ ❾ ❿ ⓫ ⓬ ⓭ ⓮ ⓯ ⓰ ⓱ ⓲ ⓳ ⓴ ⑴ ⑵ ⑶ ⑷ ⑸ ⑹ ⑺ ⑻ ⑼ ⑽ ⑾ ⑿ ⒀ ⒁ ⒂ ⒃ ⒄ ⒅ ⒆ ⒇ ㈠ ㈡ ㈢ ㈣ ㈤ ㈥ ㈦ ㈧ ㈨ ㈩ ㊀ ㊁ ㊂ ㊃ ㊄ ㊅ ㊆ ㊇ ㊈ ㊉ 🈩 🈔 🈪 🉂 🉁
數字光盤	數字光盤 📀️
數字光碟	數字光碟 📀️
數字鍵盤	數字鍵盤 🔢️
數碼光盤	數碼光盤 📀️
數碼光碟	數碼光碟 📀️
文件	文件 📄️
文件夾	文件夾 📁️ 📂 🗂 🗃 🗄
文件檔	文件檔 📃️
文件櫃	文件櫃 🗄️
文件袋	文件袋 🗂️
文書	文書 📃️
文檔	文檔 📄️
斐濟	斐濟 🇫🇯
斑馬	斑馬 🦓
斑鳩琴	斑鳩琴 🪕
斜眼	斜眼 😏️
斧	斧 🪓
斧子	斧子 🪓
斯威士蘭	斯威士蘭 🇸🇿
斯洛伐克	斯洛伐克 🇸🇰
斯洛維尼亞	斯洛維尼亞 🇸🇮
斯諾克	斯諾克 🎱️
斯里蘭卡	斯里蘭卡 🇱🇰
新	新 🆕️ 🈟
新加坡	新加坡 🇸🇬
新喀里多尼亞	新喀里多尼亞 🇳🇨
新娘	新娘 👰🏻‍♀️ 👰 👰🏻 👰🏼 👰🏽 👰🏾 👰🏿
新娘中性	新娘中性 👰🏻️
新娘子	新娘子 👰🏻‍♀️
新娘男	新娘男 👰🏻‍♂️
新婦	新婦 👰🏻‍♀️
新年	新年 🎆️
新手	新手 🔰️
新月	新月 🌑️ 🌙 🌘 🌒 🌚
新款	新款 🆕️
新聞	新聞 📰️
新西蘭	新西蘭 🇳🇿
新郎	新郎 🤵🏻‍♂️ 🤵 🤵🏻 🤵🏼 🤵🏽 🤵🏾 🤵🏿
新郎女	新郎女 🤵🏻‍♀️
新郵件	新郵件 📭️
方塊	方塊 ◽️ ◾️ ☐ ▪ ▫ ◻ ◼ ⬛ ⬜ 🔶 🔷 🔸 🔹 💠 🔲 🔳 🟥 🟧 🟨 🟩 🟦 🟪 🟫
方片	方片 ♦️ ♢
方程式	方程式 🏎️
施工	施工 🚧️
旄牛	旄牛 🦬
旅舍	旅舍 🛌🏻️
旅舘	旅舘 🛌🏻️
旅館	旅館 🛌🏻️ 🏨 🏩
旋律	旋律 🎶️
旋轉木馬	旋轉木馬 🎠️
旋鈕	旋鈕 🎛️
旋風	旋風 🌀️
日	日 ☀️ 🌞️ ㊐ ㈰
各種日期	各種日期 ㏠ ㏡ ㏢ ㏣ ㏤ ㏥ ㏦ ㏧ ㏨ ㏩ ㏪ ㏫ ㏬ ㏭ ㏮ ㏯ ㏰ ㏱ ㏲ ㏳ ㏴ ㏵ ㏶ ㏷ ㏸ ㏹ ㏺ ㏻ ㏼ ㏽ ㏾
日元	日元 💴️ 円 ￥
日光	日光 🌞️
日円	日円 💴️
日出	日出 🌄️ 🌅
日圓	日圓 💴️
日暮	日暮 🌇️
日曆	日曆 📅️ 📆 🗓
日本	日本 🇯🇵 🗾 🎌 ㍻ ㍼ ㍽ ㍾ ㋿ ㍿
日本國	日本國 🇯🇵
日本娃娃	日本娃娃 🎎️
日本郵局	日本郵局 🏣️
日火	日火 👿️
日落	日落 🌇️ 🌆
早上好	早上好 🙂️
早晨	早晨 🌄️
旱冰鞋	旱冰鞋 🛼
昆蟲	昆蟲 🪲
明亮	明亮 🌞️
明星	明星 🌟️ 🧑🏻‍🎤
明星女	明星女 👩🏻‍🎤
明星男	明星男 👨🏻‍🎤
星	星 ⭐️ * ⁑ *️⃣
各種星	各種星 ★ ☆ ⛤ ⛥ ⛦ ⛧ ✡ ❋ ❊ ❉ ❈ ❇ ❆ ❅ ❄ ❃ ❂ ❁ ❀ ✿ ✾ ✽ ✼ ✻ ✺ ✹ ✸ ✷ ✶ ✵ ✴ ✳ ✲ ✱ ✰ ✯ ✮ ✭ ✬ ✫ ✪ ✩ ✧ ✦ ✥ ✤ ✣ ✢
星光	星光 🌟️
星國	星國 🇸🇬
星型	星型 ✴️
星星	星星 ⭐️ 🌟 🌠 ✨ 🤩
星星眼	星星眼 🤩
星空	星空 🌌️
星系	星系 🌌️
星號	星號 *️⃣️ ✴️
星號鍵	星號鍵 *️⃣️
春心	春心 💗️
是嗎	是嗎 😳️
時計	時計 ⏲️
晚安	晚安 💤️ 😴️ 😪 🛌 🛌🏻 🛌🏼 🛌🏽 🛌🏾 🛌🏿
晴	晴 ☀️
晴時多雲	晴時多雲 🌤️
晴朗	晴朗 ☀️
晴空	晴空 ☀️
智利	智利 🇨🇱
智慧	智慧 😇️
暈	暈 😵‍💫 🥴 😵 (((φ(◎ロ◎;)φ)))
暈車	暈車 🥴
暗夜精靈	暗夜精靈 🧝🏻
暗夜精靈女	暗夜精靈女 🧝🏻‍♀️
暗夜精靈男	暗夜精靈男 🧝🏻‍♂️
暫停	暫停 ⏸️
暮光	暮光 🌆️
暮色	暮色 🌆️
曉不得	曉不得 😲️ 🤷🏻
曉不得女	曉不得女 🤷🏻‍♀️
曉不得男	曉不得男 🤷🏻‍♂️
曱甴	曱甴 🪳
曲別針	曲別針 🧷 📎 🖇
曲奇	曲奇 🍪️
曲棍球	曲棍球 🏑️ 🏒️ 🥍
曲棍網球	曲棍網球 🥍
曲譜	曲譜 🎼️
曳引機	曳引機 🚜️
書	書 📖️ 📚 📕 📗 📘 📙
書包	書包 🎒️
書卷	書卷 📜️
書呆子	書呆子 🤓️
書寫	書寫 ✍🏻️
書本	書本 📖️
書籤	書籤 📑️ 🔖️
曼哈頓	曼哈頓 🗽️
曼島	曼島 🇮🇲
月	月 🈷️ 🌙️ ㊊ ㈪
各種月份	各種月份 ㋀ ㋁ ㋂ ㋃ ㋄ ㋅ ㋆ ㋇ ㋈ ㋉ ㋊ ㋋
月亮	月亮 🌕️ 🌙️ 🌝️ 🌚
各種月亮	各種月亮 🌑 🌒 🌓 🌔 🌖 🌗 🌘 🌛 🌜
月光	月光 🌝️
月圓	月圓 🌕️
月夜	月夜 🌙️
月彎彎	月彎彎 🌛️ 🌜️
月牙	月牙 🌒️ 🌙️
月球	月球 🌕️ 🌝 🌚 🌑 🌒 🌓 🌔 🌖 🌗 🌘 🌙 🌛 🌜
月神	月神 🌝️
月老	月老 💘️
月色	月色 🌃️ 🌙️
月芽	月芽 🌛️ 🌜️
月蝕	月蝕 🌑️
月食	月食 🌑️
月餅	月餅 🥮
月黑風高	月黑風高 🌚️
有	有 🈶️ ㊒ ㈲
有毒	有毒 ☠️ 🤢
有病	有病 🤒️
有軌電車	有軌電車 🚋️
有郵件	有郵件 📫️
有錢	有錢 💰️
有錢人	有錢人 💰️
有雨	有雨 🌧️
有雲	有雲 ☁️
有電	有電 ⚡️
有霧	有霧 🌁️
服務員	服務員 💁🏻
服務員女	服務員女 💁🏻‍♀️
服務員男	服務員男 💁🏻‍♂️
朔	朔 🌑️
望遠鏡	望遠鏡 🔭️
朝陽	朝陽 🌄️
朝鮮	朝鮮 🇰🇵
木	木 🪵 ㊍ ㈭
木星	木星 🪐
木柴	木柴 🪵
木槿	木槿 🌺️
木頭	木頭 🪵
未睡醒	未睡醒 😵‍💫
未瞓醒	未瞓醒 😵‍💫
朱古力	朱古力 🍫️
朱古力圈	朱古力圈 🍩️
朱古力棒	朱古力棒 🍫️
朱古力餅	朱古力餅 🍪️
杖	杖 🦯
杧	杧 🥭
杧果	杧果 🥭
杯	杯 🫗
杯式蛋糕	杯式蛋糕 🧁
東京	東京 🗻️
東加	東加 🇹🇴
東帝汶	東帝汶 🇹🇱
東正教	東正教 ☦️
松樹	松樹 🌲️ 🎄 🎍
松鼠	松鼠 🐿️
板札	板札 🙌🏻️
板栗	板栗 🌰️
板球	板球 🏏️
板球棒	板球棒 🏏️
果嶺	果嶺 ⛳️
果汁	果汁 🍹️ 🧃
果酒	果酒 🍸️
枝	枝 🌿️
枝條	枝條 🌿️
枯萎	枯萎 🥀
枯葉	枯葉 🍂️
架子鼔	架子鼔 🥁
柏樹	柏樹 🌳️
某人	某人 👤️
柑橘	柑橘 🍊️
柔道	柔道 🤼🏻 🥋
柔道女	柔道女 🤼🏻‍♀️
柔道男	柔道男 🤼🏻‍♂️
查德	查德 🇹🇩
查找	查找 🔍️ 🔎
柬埔寨	柬埔寨 🇰🇭
柴	柴 🪵
柺杖	柺杖 🩼
栗	栗 🌰️
栗子	栗子 🌰️
校巴	校巴 🚍️
校車	校車 🚍️
核子	核子 ⚛️
核子彈	核子彈 ☢️
核子能	核子能 ⚛️
核彈	核彈 ☢️
核武器	核武器 ☢️
核突	核突 🤢 🤮
核能	核能 ⚛️
核輻射	核輻射 ☢️
核電	核電 ⚛️
根西	根西 🇬🇬
格恩濟	格恩濟 🇬🇬
格林納達	格林納達 🇬🇩
格瑞那達	格瑞那達 🇬🇩
格陵蘭	格陵蘭 🇬🇱
格魯吉亞	格魯吉亞 🇬🇪
桃	桃 🍑️
桃花	桃花 🌸️
桌球	桌球 🎱️
桌遊	桌遊 🎴️
桌遊卡	桌遊卡 🎴️
桑拿	桑拿 🧖🏻
桑拿女	桑拿女 🧖🏻‍♀️
桑拿男	桑拿男 🧖🏻‍♂️
桶	桶 🪣 🛢 🗑
梅花	梅花 ♣️ 🌸️ ♧ 🀢
梅花鹿	梅花鹿 🦌
條城	條城 🏯️
條子	條子 👮🏻
條子女	條子女 👮🏻‍♀️
條子男	條子男 👮🏻‍♂️
梟	梟 🦉
梨	梨 🍐️
梯	梯 🪜
梯子	梯子 🪜
梳	梳 🪮
梵蒂岡	梵蒂岡 🇻🇦
梵鈴	梵鈴 🎻️
棍網球	棍網球 🥍
棒	棒 👍🏻 💯️ 🤩 o(￣▽￣)ｄ (๑•̀ㅂ•́)و✧ ㄟ(≧◇≦)ㄏ
棒呆	棒呆 🤩
棒棒糖	棒棒糖 🍭️
棒球	棒球 ⚾️
棕圓	棕圓 🟤
棕心	棕心 🤎
棕櫚	棕櫚 🌴️
棕熊	棕熊 🐻️
森林	森林 🌲️
棺	棺 ⚰️
棺材	棺材 ⚰️ ⚱
椅	椅 💺️ 🪑
椅子	椅子 🪑 💺
椒鹽捲餅	椒鹽捲餅 🥨
椪柑	椪柑 🍊️
椰	椰 🥥
椰子樹	椰子樹 🌴️
椰汁	椰汁 🥥
椰肉	椰肉 🥥
椰蓉	椰蓉 🥥
楓	楓 🍁️
楓葉	楓葉 🍁️
榔頭	榔頭 🔨️
槓鈴	槓鈴 🏋🏻
槓鈴女	槓鈴女 🏋🏻‍♀️
槓鈴男	槓鈴男 🏋🏻‍♂️
槽耐	槽耐 🤮
樂曲	樂曲 🎼️
標籤	標籤 🏷️ 📑️
模糊	模糊 🫨
模里西斯	模里西斯 🇲🇺
樹	樹 🌲️ 🌳️ 🌴 🎄 🎍 🌱
樹懶	樹懶 🦥
樹木	樹木 🌲️
樹枝	樹枝 🌿️
樹獺	樹獺 🦥
樹苗	樹苗 🌱️
樹袋熊	樹袋熊 🐨️
樽	樽 🏺️
橄欖	橄欖 🫒
橄欖枝	橄欖枝 🕊️
橄欖球	橄欖球 🏉️ 🏈
橘子	橘子 🍊️
橘心	橘心 🧡
橘色	橘色 🟧
橘黃	橘黃 🟧
橘黃色	橘黃色 🟧
橙	橙 🟧
橙圓	橙圓 🟠
橙子	橙子 🍊️
橙心	橙心 🧡
橙色	橙色 🟧
機器人	機器人 🤖️ 🦾 🦿
機器腿	機器腿 🦿
機器臂	機器臂 🦾
機械腿	機械腿 🦿
機械臂	機械臂 🦾
機長	機長 🧑🏻‍✈️
機長女	機長女 👩🏻‍✈️
機長男	機長男 👨🏻‍✈️
機靈	機靈 😉️
檔案	檔案 🗃️
檔案夾	檔案夾 📁️
檔案櫃	檔案櫃 🗄️
檔案盒	檔案盒 🗃️
檔案箱	檔案箱 🗃️
檔案袋	檔案袋 🗂️
檢察	檢察 🧐
檯曆	檯曆 📆️
檯球	檯球 🎱️
檸檬	檸檬 🍋️
櫻桃	櫻桃 🍒️
櫻花	櫻花 🌸️
歌廳	歌廳 🪩
歌手	歌手 🧑🏻‍🎤
歌手女	歌手女 👩🏻‍🎤
歌手男	歌手男 👨🏻‍🎤
歌星	歌星 🧑🏻‍🎤
歌星女	歌星女 👩🏻‍🎤
歌星男	歌星男 👨🏻‍🎤
歌舞廳	歌舞廳 🪩
歎問號	歎問號 ⁉️
歎號	歎號 ❕️ ❗️ ‼️ ⁉️ ¡
歐元	歐元 💶️ €
歐圓	歐圓 💶️
歐洲	歐洲 🌍️
歐盟	歐盟 🇪🇺
歡呼	歡呼 🙋🏻 🥳
歡呼女	歡呼女 🙋🏻‍♀️
歡呼男	歡呼男 🙋🏻‍♂️
歡慶	歡慶 🎊️ 🙌🏻️ 🍾
歡迎	歡迎 🙋🏻 (＾∀＾)／歡迎＼(＾∀＾)
歡迎女	歡迎女 🙋🏻‍♀️
歡迎男	歡迎男 🙋🏻‍♂️
止血膠布	止血膠布 🩹
正	正 ✔️ + ㊣
正中紅心	正中紅心 🎯️
正裝	正裝 👔️
武術服	武術服 🥋
歪嘴	歪嘴 🤪
死定了	死定了 😠️ 😾️
死火山	死火山 🗻️
死豬	死豬 🐖️
殘月	殘月 🌘️
殘杖	殘杖 🩼
殘疾	殘疾 🧑🏻‍🦼 🧑🏻‍🦽
殘疾人	殘疾人 🧑🏻‍🦼 🧑🏻‍🦽
殘疾人女	殘疾人女 👩🏻‍🦼 👩🏻‍🦽
殘疾人男	殘疾人男 👨🏻‍🦼 👨🏻‍🦽
殘疾人設施	殘疾人設施 ♿️
殘疾女	殘疾女 👩🏻‍🦼 👩🏻‍🦽
殘疾男	殘疾男 👨🏻‍🦼 👨🏻‍🦽
殘陽	殘陽 🌇️
殭屍	殭屍 🧟 🧟‍♂ 🧟‍♀
殭屍女	殭屍女 🧟‍♀️
殭屍男	殭屍男 🧟‍♂️
母	母 👩🏻️
母女	母女 👩‍👧
母女倆	母女倆 👩‍👧
母子	母子 👩‍👦
母子倆	母子倆 👩‍👦
母親	母親 👩🏻️
母雞	母雞 🐔️
比	比 🆚️ : / ：
比利時	比利時 🇧🇪
比基尼	比基尼 👙️
比心	比心 🫰🏻 🫶🏻 (´▽`ʃ♡ƪ)
比愛心	比愛心 🫶🏻
比薩	比薩 🍕️
毛毛蟲	毛毛蟲 🐛️
毛線	毛線 🧶
毛線團	毛線團 🧶
毛里塔尼亞	毛里塔尼亞 🇲🇷
毛里求斯	毛里求斯 🇲🇺
氂牛	氂牛 🦬
民主剛果	民主剛果 🇨🇩
民國	民國 🇹🇼
民工	民工 👷🏻
民工女	民工女 👷🏻‍♀️
民工男	民工男 👷🏻‍♂️
民警	民警 👮🏻
民警女	民警女 👮🏻‍♀️
民警男	民警男 👮🏻‍♂️
氣泡	氣泡 🫧
氣泡酒	氣泡酒 🍾️
氣球	氣球 🎈️
氣餒	氣餒 🙁️
氫彈	氫彈 ☢️
水	水 💧️ ㊌ ㈬ 🚰
水戰	水戰 🔫️
水族館	水族館 🐳️
水晶球	水晶球 🔮️
水桶	水桶 🪣
水槍	水槍 🔫️
水母	水母 🪼
水滴	水滴 💧️
水牛	水牛 🐃️
水獺	水獺 🦦
水球	水球 🤽🏻
水球女	水球女 🤽🏻‍♀️
水球男	水球男 🤽🏻‍♂️
水瓶座	水瓶座 ♒️
水筆	水筆 🖋️
水蜜桃	水蜜桃 🍑️
水餃	水餃 🥟
水龍頭	水龍頭 🚰️
求	求 🥹 🥺 (っ´Ι`)っ
求救	求救 🆘️
求求你	求求你 🥺
汗	汗 😓️ 😥️ [汗] 💦 Σ(°△°|||)︴ (\"▔□▔) (￢д￢。) (lll￢ω￢) |(*′口`)
污染	污染 🏭️ 😷️
江豚	江豚 🐡️
汶萊	汶萊 🇧🇳
汽水	汽水 🥤
汽艇	汽艇 🛥️
沐浴	沐浴 🛁️
沐浴乳	沐浴乳 🧴
沐浴露	沐浴露 🧴
沒了	沒了 😖️
沒事的	沒事的 🤗️
沒問題	沒問題 👌🏻 (〃･ิ‿･ิ)ゞ
沒想好	沒想好 😕️
沒意思	沒意思 😞️ 😴️
沒戲	沒戲 😔️
沒有新郵件	沒有新郵件 📬️
沒有郵件	沒有郵件 📪️
沒眼看	沒眼看 🙈️
沒睡醒	沒睡醒 😵‍💫
沒聽看	沒聽看 🙉️
沒臉見人	沒臉見人 🙈️
沒興趣	沒興趣 😌️
沒說	沒說 🙊️
沒錢	沒錢 💸️
沒錢了	沒錢了 💸️
沒門	沒門 🙅🏻
沒門女	沒門女 🙅🏻‍♀️
沒門男	沒門男 🙅🏻‍♂️
沒電	沒電 🪫
沖涼	沖涼 🚿️
沙冰	沙冰 🍧️
沙拉	沙拉 🥗
沙漏	沙漏 ⌛️ ⏳
沙漠	沙漠 🌵️ 🏜️
沙灘	沙灘 🏖️
沙灘傘	沙灘傘 ⛱️
沙灘陽傘	沙灘陽傘 ⛱️
沙烏地阿拉伯	沙烏地阿拉伯 🇸🇦
沙特阿拉伯	沙特阿拉伯 🇸🇦
沙發	沙發 🛋️
沮喪	沮喪 🙍🏻
沮喪女	沮喪女 🙍🏻‍♀️
沮喪男	沮喪男 🙍🏻‍♂️
河狸	河狸 🦫
河豚	河豚 🐡️
河馬	河馬 🦛
油桶	油桶 🛢️
油燈	油燈 🪔
油畫棒	油畫棒 🖍️
油站	油站 ⛽️
油筒	油筒 🛢️
泊位	泊位 🅿️
泊車	泊車 🅿️
法國	法國 🇫🇷 法蘭西共和國
法國王室	法國王室 ⚜️
法官	法官 🧑🏻‍⚖️
法官女	法官女 👩🏻‍⚖️
法官男	法官男 👨🏻‍⚖️
法屬南方屬地	法屬南方屬地 🇹🇫
法屬圭亞那	法屬圭亞那 🇬🇫
法屬玻里尼西亞	法屬玻里尼西亞 🇵🇫
法師	法師 🧙🏻
法師女	法師女 🧙🏻‍♀️
法師男	法師男 🧙🏻‍♂️
法拉利	法拉利 🏎️
法棍	法棍 🥖
法羅羣島	法羅羣島 🇫🇴
法蒂瑪之手	法蒂瑪之手 🪬
法蘭西	法蘭西 ⚜️ 🇫🇷
法輪	法輪 ☸️
法輪功	法輪功 ☸️
法輪大法	法輪大法 ☸️
泛舟	泛舟 🚣🏻
泛舟女	泛舟女 🚣🏻‍♀️
泛舟男	泛舟男 🚣🏻‍♂️
泡	泡 🫧
波利維亞	波利維亞 🇧🇴
波士尼亞赫塞哥維納	波士尼亞赫塞哥維納 🇧🇦
波多黎各	波多黎各 🇵🇷
波奈	波奈 🇧🇶
波斯	波斯 🇮🇷
波斯尼亞和黑塞哥維納	波斯尼亞和黑塞哥維納 🇧🇦
波札那	波札那 🇧🇼
波浪	波浪 🌊️
波浪號	波浪號 〰️
波羅	波羅 🍍️
波蘭	波蘭 🇵🇱
波黑	波黑 🇧🇦
注目	注目 👁️
注視	注視 👁️
泰國	泰國 🇹🇭
泰迪熊	泰迪熊 🧸
泳衣	泳衣 🩱
泳裝	泳裝 👙️
泳褲	泳褲 🩲
洋服	洋服 🤵🏻
洋服女	洋服女 🤵🏻‍♀️
洋服男	洋服男 🤵🏻‍♂️
洋竽	洋竽 🥔
洋蒜	洋蒜 🧅
洋蔥	洋蔥 🧅
洋酒	洋酒 🥃
洗浴	洗浴 🛀️ 🛁️ 🚿
洗澡	洗澡 🛀🏻 🛁️ 🚿
洗髮露	洗髮露 🧴
洞	洞 🕳️
津巴布韋	津巴布韋 🇿🇼
洪都拉斯	洪都拉斯 🇭🇳
派	派 🥧
流口水	流口水 🤤
流星	流星 🌠️
流星雨	流星雨 🌠️
流涎	流涎 🤤
流淚	流淚 😭️ 😢 🥲 🥹 😿
流鼻涕	流鼻涕 🤧
浣熊	浣熊 🦝
浪	浪 🌊️
浮潛	浮潛 🤿
海	海 🌊️ 🏖 ⛱️ 🐚 👙
海上日出	海上日出 🌅️
海嘯	海嘯 🌊️
海地	海地 🇭🇹
海島	海島 🏝️
海底世界	海底世界 🐳️
海棠	海棠 🌺️
海洋世界	海洋世界 🐳️
海浪	海浪 🌊️
海灘	海灘 🏖️
海灘傘	海灘傘 ⛱️
海灘陽傘	海灘陽傘 ⛱️
海獅	海獅 🦭
海產	海產 🐟️
海盜	海盜 🏴‍☠️
海盜旗	海盜旗 🏴‍☠️
海綿	海綿 🧽
海綿擦	海綿擦 🧽
海蜇	海蜇 🪼
海螺	海螺 🐚️
海豚	海豚 🐬️
海豹	海豹 🦭
海邊	海邊 🏖️ ⛱️ 🐚 🌊 👙
海關	海關 🛃️
海鮮	海鮮 🐟️
消防員	消防員 🧑🏻‍🚒
消防員女	消防員女 👩🏻‍🚒
消防員男	消防員男 👨🏻‍🚒
消防車	消防車 🚒️
涼鞋	涼鞋 👡️ 🩴
淋浴	淋浴 🚿️
淚	淚 😭️ 😢 🥲 🥹 😿
深夜	深夜 🌃️
混亂	混亂 🙃️
淺藍心	淺藍心 🩵
清晨	清晨 🌄️
清真寺	清真寺 🕌️
清空	清空 🆑️
清酒	清酒 🍶️
清除	清除 🆑️
減	減 ➖️ - ⁻ ₋ ⊖
渡口	渡口 ⛴️
