AB型血	AB型血 🆎️
不告訴你	不告訴你 😏️
不哭	不哭 🤗️
不喜歡	不喜歡 🥴
不女	不女 🙅🏻‍♀️
不好	不好 🆖️ 🙅🏻 🫨
不好吧	不好吧 😰️
不好女	不好女 🙅🏻‍♀️
不好意思	不好意思 🙏🏻️
不好玩	不好玩 😝️ 😴️
不好男	不好男 🙅🏻‍♂️
不對吧	不對吧 🤨
不幹	不幹 😝️ 🙅🏻
不幹女	不幹女 🙅🏻‍♀️
不幹男	不幹男 🙅🏻‍♂️
不得	不得 🚫️
不懂	不懂 😵‍💫 😵️ (＠_＠;) ヾ(°ｰ°ヾ)^?啊咧？
不敢看	不敢看 🙈️
不敢聽	不敢聽 🙉️
不敢說	不敢說 🙊️
不是吧	不是吧 😢️ 😥️ 😿️ 🤨
不曉得	不曉得 😲️
不會	不會 😝️
不會吧	不會吧 😟️ 😦️
不會啦	不會啦 😝️
不清楚	不清楚 😲️ 🤷🏻‍♂️
不爽	不爽 ☹️
不男	不男 🙅🏻‍♂️
不看	不看 😣️ 🙈
不知道	不知道 😲️ 🤷🏻‍
不知道女	不知道女 🤷🏻‍♀️
不知道男	不知道男 🤷🏻‍♂️
不管	不管 🤷🏻
不管女	不管女 🤷🏻‍♀️
不管男	不管男 🤷🏻‍♂️
不聽	不聽 🙉️
不能看	不能看 🙈️
不能聽	不能聽 🙉️
不能說	不能說 🙊️ 🫢
不行	不行 😝️ 🙅🏻‍
不行女	不行女 🙅🏻‍♀️
不行男	不行男 🙅🏻‍♂️
不要	不要 😣️
不要怕	不要怕 🤗️
不見	不見 😣️
不許看	不許看 🙈️
不許聽	不許聽 🙉️
不許說	不許說 🙊️
不說	不說 🤐️ 🫢
不說了	不說了 🫢
不講	不講 🤐️
不通	不通 ⛔️ 🚧️
不錯	不錯 😎️
不錯啊	不錯啊 😀️ 😺️
不開心	不開心 😞️
不關我事	不關我事 🤷🏻
不關我事女	不關我事女 🤷🏻‍♀️
不關我事男	不關我事男 🤷🏻‍♂️
不高興	不高興 😩️
世界	世界 🌐️ 🗺
両替	両替 💱️
並肩	並肩 🧑🏻‍🤝‍🧑🏻
中午好	中午好 🙂️
中國	中國 🇨🇳 中華人民共和國
中國大陸	中國大陸 🇨🇳
中學	中學 🏫️
中指	中指 🖕
中方塊	中方塊 ◻️ ◼️
中產	中產 🧑🏻‍💼
中產女	中產女 👩🏻‍💼
中產男	中產男 👨🏻‍💼
中秋	中秋 🌕️ 🎑️
中秋節	中秋節 🌕️ 🎑️
中等白方	中等白方 ◻️
中等黑方	中等黑方 ◼️
中華人民共和國	中華人民共和國 🇨🇳
中華民國	中華民國 🇹🇼
中非	中非 🇨🇫
串燒	串燒 🍢️
丸子	丸子 🍡️
丹麥	丹麥 🇩🇰
主廚	主廚 🧑🏻‍🍳
主廚女	主廚女 👩🏻‍🍳
主廚男	主廚男 👨🏻‍🍳
主意	主意 💭️
乍得	乍得 🇹🇩
乒乓	乒乓 🏓️
乒乓球	乒乓球 🏓️
乒乓球拍	乒乓球拍 🏓️
乖	乖 😬️ o(*^＠^*)o
乖孩子	乖孩子 🤓️
乘	乘 ✖️ × ⊗
九	九 9️⃣ ⁹ ₉
圈九	圈九 ⑨ ⓽ ➒ ㊈
九枝燈台	九枝燈台 🕎️
九枝燈臺	九枝燈臺 🕎️
九點	九點 🕘️
九點半	九點半 🕤️
也就這樣	也就這樣 😪️
也門	也門 🇾🇪
乳	乳 🥛
乳液	乳液 🧴
乳酪	乳酪 🧀
乾杯	乾杯 🥂 []~(￣▽￣)~* (￣▽￣)～■乾杯□～(￣▽￣)
亂噏	亂噏 🤥
亂講	亂講 🤥
二	二 2️⃣ ² ₂
圈二	圈二 ② ➋ ⓶ ㊁
五	五 5️⃣ ⁵ ₅
圈五	圈三 ⑤ ➎ ⓹ ㊄
五弦琴	五弦琴 🪕
五指	五指 🖐🏻️
五絃琴	五絃琴 🪕
五角星	五角星 ⭐️
五點	五點 🕔️
五點半	五點半 🕠️
井號	井號 #️⃣
井號鍵	井號鍵 #️⃣
亞塞拜然	亞塞拜然 🇦🇿
亞森欣	亞森欣 🇸🇭
亞洲	亞洲 🌏️
亞美尼亞	亞美尼亞 🇦🇲
亞軍	亞軍 🥈
交通燈	交通燈 🚥️ 🚦️
享受	享受 ☺️
亮蛋	亮蛋 🧑🏻‍🦲
亮蛋女	亮蛋女 👩🏻‍🦲
亮蛋男	亮蛋男 👨🏻‍🦲
人字拖	人字拖 🩴
人工智能	人工智能 🤖️
人民幣	人民幣 💴️ ￥
人造衛星	人造衛星 🛰️
人魚	人魚 🧜🏻
人魚女	人魚女 🧜🏻‍♀️
人魚男	人魚男 🧜🏻‍♂️
仔	仔 🧒🏻
仔細	仔細 🧐
他	他 👤️ ╭(′•㉨•′)╭☞
他們	他們 👥️
仙人	仙人 🧚🏻
仙人女	仙人女 🧚🏻‍♀️
仙人掌	仙人掌 🌵️
仙人男	仙人男 🧚🏻‍♂️
仙女	仙女 🧚🏻‍♀️
仙女棒	仙女棒 🎇️
仙子	仙子 🧚🏻‍♂️
以色列	以色列 🇮🇱
仲秋	仲秋 🌕️ 🎑️
企	企 🧍🏻 ㊭ ㈽
企女	企女 🧍🏻‍♀️
企男	企男 🧍🏻‍♂️
企鵝	企鵝 🐧️
伊拉克	伊拉克 🇮🇶
伊斯蘭	伊斯蘭 ☪️ 🕌 🕋 🧕 🤲
伊斯蘭教	伊斯蘭教 ☪️
伊朗	伊朗 🇮🇷
休息	休息 😑️
休旅車	休旅車 🚙️
伯利茲	伯利茲 🇧🇿
估吓	估吓 😏️
低溫	低溫 🥶
低音量	低音量 🔉️
住宅區	住宅區 🏘️
住宿	住宿 🛌🏻️
住店	住店 🛌🏻️
佛堂	佛堂 🛐️
佛得角	佛得角 🇨🇻
佛殿	佛殿 🛐️
佛珠	佛珠 📿️
作弄	作弄 😜️
作曲	作曲 🎼️
你	你 🫵🏻
你也是	你也是 😏️ 😼️
你大爺	你大爺 🤬
你好	你好 🙂️ 👋 ヾ(´･ω･｀)ﾉ
你妹	你妹 🤬
你媽	你媽 🤬
你媽屄	你媽屄 🤬
你猜	你猜 😏️ 😼️
來信	來信 📨️
來郵件	來郵件 📨️
便便	便便 💩️
便利店	便利店 🏪️
便條	便條 📝️
便當	便當 🥡 🍱
便餐	便餐 🥡
俄國	俄國 🇷🇺
俄羅斯	俄羅斯 🇷🇺
保加利亞	保加利亞 🇧🇬
保齡	保齡 🎳️
保齡球	保齡球 🎳️
信	信 ✉️ 💌
信件	信件 ✉️
信你有鬼	信你有鬼 😒️
信封	信封 ✉️ 💌
信用卡	信用卡 💳️
信箱	信箱 📮️
信號	信號 📶️
信號燈	信號燈 🚥️ 🚦️
倉鼠	倉鼠 🐹️
倒	倒 🤒️ 🫗
倒帶	倒帶 ⏪️
倒彩	倒彩 🖕🏻️
倒掛列車	倒掛列車 🚟️
倒楣	倒楣 😫️
倒水	倒水 🫗
倒退	倒退 ⏪️ ◀️
借記卡	借記卡 💳️
假肢	假肢 🦾 🦿
假面	假面 🎭️ 🥸
做夢	做夢 💭️ ZZzz…(。-ω-)..ooO((【•:*:~夢~:*:•】))
做禮拜	做禮拜 🛐️
停	停 ⛔️ 🛑 ✋
停止	停止 ⏹️ 🛑 ✋
停止播放	停止播放 ⏹️
停車	停車 🅿️
停車場	停車場 🅿️
偵探	偵探 🕵🏻
偵探女	偵探女 🕵🏻‍♀️
偵探男	偵探男 🕵🏻‍♂️
偷看	偷看 🫣 (/ω＼*)………(/ω•＼*)
偷瞄	偷瞄 🫣
偷窺	偷窺 🫣 ┬┴┤_•)
偷笑	偷笑 😏️ 🤭
傍晚	傍晚 🌆️ 🌇
傘	傘 🌂️ ⛱ ☂ ☔ 🏖
備忘錄	備忘錄 📝️ 🗒 📇 📋
傳呼機	傳呼機 📟️
傳真	傳真 📠️ ℻
傳真機	傳真機 📠️
傷	傷 🤕️
傷了	傷了 🤕️
傷心	傷心 ❤️‍🩹 😔 ☹ (•̥́ˍ•̀ू) (；′⌒`) (´-ι_-｀) (｡•́︿•̀｡) (︶^︶) ᵕ᷄≀̠˘᷅
傻	傻 🐷️ 🤪
傻冒	傻冒 🐷️
傻屄	傻屄 🐷️
傻逼	傻逼 🐷️
像素遊戲	像素遊戲 👾️
僞裝	僞裝 🥸
儲蓄卡	儲蓄卡 💳️
元宵	元宵 🏮️
兄妹	兄妹 👫🏻
兄弟	兄弟 👬🏻
兄弟姊妹	兄弟姊妹 👫🏻
兄弟姐妹	兄弟姐妹 👫🏻
充電	充電 🔋️ 🔌
先生	先生 🤵🏻‍♂️
光明	光明 🌞️
光明節	光明節 🕎️
光環	光環 🪐
光盤	光盤 💿️ 📀
光碟	光碟 💿️
光頭	光頭 🧑🏻‍🦲
光頭女	光頭女 👩🏻‍🦲
光頭男	光頭男 👨🏻‍🦲
克爾白	克爾白 🕋️
克羅地亞	克羅地亞 🇭🇷
克羅埃西亞	克羅埃西亞 🇭🇷
兌換	兌換 💱️
免打擾	免打擾 🔕️
免費	免費 🆓️
免費電話	免費電話 ➿️
兒	兒 👦🏻️
兒子	兒子 👦🏻️ 👨‍👩‍👦
兒童	兒童 🧒🏻 👦 👧 🚸
兒童女	👧
兒童男	👦
兔	兔 🐇️ 🐰 𓃹
兔女	兔女 👯🏻‍♀️
兔女郎	兔女郎 👯🏻‍♀️
兔子	兔子 🐇️ 🐰 𓃹
兔年	兔年 🐰️
兔男	兔男 👯🏻‍♂️
兔肉	兔肉 🐇️
兔頭	兔頭 🐰️
入場券	入場券 🎟️
內褲	內褲 🩲
全家	全家 👨‍👩‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧
兩人	兩人 👥️
兩儀	兩儀 ☯️
兩邊打開	兩邊打開 🔛️
兩點	兩點 🕑️
兩點半	兩點半 🕝️
八	八 8️⃣ ⁸ ₈
圈八	圈八 ⑧ ❽ ⓼ ㊇
八帶魚	八帶魚 🐙️
八爪魚	八爪魚 🐙️
八角星	八角星 ✳️ ✴️
八點	八點 🕗️
八點半	八點半 🕣️
公主	公主 👸🏻 👸 👸🏼
公交車	公交車 🚌️
公交車站	公交車站 🚏️
公園	公園 ⛲️ 🏞
公放	公放 📢️
公文包	公文包 💼️
公牛	公牛 🐂️
公羊	公羊 🐏️
公車	公車 🚌️
公車站	公車站 🚏️
公雞	公雞 🐓️
六	六 6️⃣ ⁶ ₆
圈六	圈六 ⑥ ⓺ ❻ ㊅
六芒星	六芒星 ✡️
六點	六點 🕕️
六點半	六點半 🕡️
円	円 💴️
冇眼睇	冇眼睇 🙈️
再見	再見 👋 ヾ(￣▽￣)Bye~Bye~ (ToT)/~~~ (ㄏ￣▽￣)ㄏbyeㄟ(￣▽￣ㄟ) (o__)ﾉ ┏(＾0＾)┛ (。・_・)/~~~ (ﾟдﾟ)つBye
冒泡	冒泡 🫧
冠軍	冠軍 🏆️ 🥇
冥想	冥想 🧘🏻
冥想女	冥想女 🧘🏻‍♀️
冥想男	冥想男 🧘🏻‍♂️
冰	冰 🧊
冰冷	冰冷 🥶
冰刀	冰刀 ⛸️
冰塊	冰塊 🧊
冰壺	冰壺 🥌
冰島	冰島 🇮🇸
冰淇淋	冰淇淋 🍨️ 🍦
冰激淋	冰激淋 🍨️
冰球	冰球 🏒️
冰鞋	冰鞋 ⛸️
冷	冷 ❄️ 🥶
冷漠	冷漠 😶️
冷笑	冷笑 😏️ （￣ー￣）
凋謝	凋謝 🥀
凋零	凋零 🥀
凍	凍 🥶
出事了	出事了 🚨️
出國	出國 🚢️
出汗	出汗 🥵 😓 💦
出洋相	出洋相 🤡
出海	出海 🚢️
出租車	出租車 🚕️ 🚖
出色	出色 🤩
出警	出警 🚨️
出遊	出遊 🚙️
出醜	出醜 🤡
刀	刀 🔪️ 🗡️ 🍴 🍽️
刀叉	刀叉 🍴️ 🍽
分手	分手 💔️
分析報告	分析報告 📊️
切	切 🤪  •᷄ࡇ•᷅ (ˉ▽￣～)切~~
划船	划船 🚣🏻
划船女	划船女 🚣🏻‍♀️
划船男	划船男 🚣🏻‍♂️
划艇	划艇 🚣🏻
划艇女	划艇女 🚣🏻‍♀️
划艇男	划艇男 🚣🏻‍♂️
列印機	列印機 🖨️
列支敦士登	列支敦士登 🇱🇮
列支敦斯登	列支敦斯登 🇱🇮
初中	初中 🏫️
別亂說	別亂說 🙊️
別亂講	別亂講 🙊️
別出聲	別出聲 🤫
別在意	別在意 🙏🏻
別墅	別墅 🏡️ 🏘️
別墅區	別墅區 🏘️
別煩我	別煩我 😑️
別理我	別理我 😑️
別說	別說 🫢
別說了	別說了 🤐️ 🫢
別說話	別說話 🫢
別針	別針 🧷 📎 🖇
別騙我	別騙我 😳️
刨冰	刨冰 🍧️
利是	利是 🧧
利比亞	利比亞 🇱🇾
利比里亞	利比里亞 🇱🇷
刮鬍刀	刮鬍刀 🪒
刺猥	刺猥 🦔
剃頭	剃頭 💇🏻
剃頭女	剃頭女 💇🏻‍♀️
剃頭男	剃頭男 💇🏻‍♂️
剃鬚刀	剃鬚刀 🪒
前	前 ➡️ ⬆️ 🈜
剛果	剛果 🇨🇬 🇨🇩
剛果金	剛果金 🇨🇩
剪	剪 ✂️
剪刀	剪刀 ✂️
剪切板	剪切板 📋️
剪子	剪子 ✂️
剪貼板	剪貼板 📋️
剪輯	剪輯 🎬️
剪頭髮	剪頭髮 💇🏻
剪頭髮女	剪頭髮女 💇🏻‍♀️
剪頭髮男	剪頭髮男 💇🏻‍♂️
剪髮	剪髮 💇🏻
剪髮女	剪髮女 💇🏻‍♀️
剪髮男	剪髮男 💇🏻‍♂️
割	割 🈹️
創可貼	創可貼 🩹
劍	劍 ⚔️
力量	力量 💪 🦾 ┗|*｀0′*|┛
加	加 ➕️ ⁺ ₊ ⊕
加冕	加冕 🫅🏻
加冕女	加冕女 👸🏻
加冕男	加冕男 🤴🏻
加密	加密 🔐️
加彭	加彭 🇬🇦
加拿大	加拿大 🇨🇦
加油	加油 😼️ ⛽ [加油] [加油加油] (ง•̀_•́)ง ୧(๑•̀⌄•́๑)૭
加油站	加油站 ⛽️
加納	加納 🇬🇭
加蓬	加蓬 🇬🇦
加那利羣島	加那利羣島 🇮🇨
助聽器	助聽器 🦻🏻 🦻 🦻🏼 🦻🏽 🦻🏾 🦻🏿
動車	動車 🚅️
勝利	勝利 🔱️ ✌ ✌🏻 ✌🏼 ✌🏽 ✌🏾 ✌🏿
勞作	勞作 ⚒️
勞動	勞動 ⚒️
勞工	勞工 👨🏻‍🏭 🧑🏻‍🏭
勞工女	勞工女 👩🏻‍🏭
勞工男	勞工男 👨🏻‍🏭
勢利	勢利 🤑️
勳章	勳章 🎖️
勺	勺 🥄
勾	勾 ✅️ ✔️ ✓ √
勾選	勾選 ✅️
勿丟垃圾	勿丟垃圾 🚯️
勿扔垃圾	勿扔垃圾 🚯️
勿擾	勿擾 🔕️
包穀	包穀 🌽️
包米	包米 🌽️
包裝盒	包裝盒 🎁️
包裹	包裹 📦️
匈牙利	匈牙利 🇭🇺
匕手	匕手 🗡️
化妝室	化妝室 🚻️
化學	化學 ⚗️
化學物質	化學物質 🧪
化粧室	化粧室 🚻️
北朝鮮	北朝鮮 🇰🇵
北極熊	北極熊 🐻‍❄️
北韓	北韓 🇰🇵
北馬利安納羣島	北馬利安納羣島 🇲🇵
北馬里亞納羣島	北馬里亞納羣島 🇲🇵
匙	匙 🥄
匯兌	匯兌 💱️
匿名	匿名 👤️
十	十 🔟️ 十、 拾 Ⅹ ⅹ 〸  ㈩
圈十	圈十 ⑩ ⓾ ⒑ ➓ ㊉
十一點	十一點 🕚️
十一點半	十一點半 🕦️
十二點	十二點 🕛️
十二點半	十二點半 🕧️
十八禁	十八禁 🔞️
十字架	十字架 ✝️
十字路口	十字路口 🚥️ 🚦️
十字鎬	十字鎬 ⛏️
十點	十點 🕙️
十點半	十點半 🕥️
千里達及多巴哥	千里達及多巴哥 🇹🇹
千里達及托巴哥	千里達及托巴哥 🇹🇹
半月	半月 🌓️
半獸人	半獸人 🧌
南喬治亞和南桑威奇羣島	南喬治亞和南桑威奇羣島 🇬🇸
南喬治亞與南三明治羣島	南喬治亞與南三明治羣島 🇬🇸
南帽	南帽 🎩️
南朝鮮	南朝鮮 🇰🇷
南極	南極 🇦🇶
南極洲	南極洲 🇦🇶
南瓜	南瓜 🎃️
南瓜人	南瓜人 🎃️
南瓜燈	南瓜燈 🎃️
南瓜臉	南瓜臉 🎃️
南蘇丹	南蘇丹 🇸🇸
南非	南非 🇿🇦
南韓	南韓 🇰🇷
博士	博士 🧑🏻‍🎓 👨‍🎓 🧑‍🎓 👩‍🎓 👨🏻‍🎓 👨🏼‍🎓 👨🏽‍🎓 👨🏾‍🎓 👨🏿‍🎓 🧑🏼‍🎓 🧑🏽‍🎓 🧑🏾‍🎓 🧑🏿‍🎓 👩🏻‍🎓 👩🏼‍🎓 👩🏽‍🎓 👩🏾‍🎓 👩🏿‍🎓
博士女	博士女 👩🏻‍🎓
博士男	博士男 👨🏻‍🎓
博奈爾	博奈爾 🇧🇶
博茨瓦納	博茨瓦納 🇧🇼
卡塔爾	卡塔爾 🇶🇦
卡士達	卡士達 🍮️
卡車	卡車 🚛️ 🛻
卡達	卡達 🇶🇦
印尼	印尼 🇮🇩
印度	印度 🇮🇳
印度寺廟	印度寺廟 🛕
印度尼西亞	印度尼西亞 🇮🇩
